feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
跌倒评估-总分,Fall risk score,0.0,0.28170351899533996,32.47736507022427,0.0
肌少症评估-总分,Sarcopenia score,2.0739607447135148e-226,0.1957691618722325,2.2263440106343,1.2443764468281088e-225
IADL量表-总分,IADL total,1.012295779420168e-220,0.17198448559367852,4.249789050326125,4.049183117680672e-220
衰弱快速筛查量表-总分,Frailty screen score,3.008023564673173e-193,0.1722511458128598,0.9746131608386961,9.024070694019519e-193
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,2.912211076872127e-182,0.13890553476837325,1.0303256499908677,6.989306584493105e-182
ADL量表-总分,ADL total,3.4394358912027074e-177,0.12464267274530794,12.398663638973716,6.878871782405415e-177
弹性评估-总分,Resilience score,3.0792272098723326e-167,0.11252652591572172,8.563836077432342,5.2786752169239985e-167
Fried衰弱表型评估-总分,Fried frailty score,1.4725039696605525e-164,0.1458008406230929,1.0717029930174338,2.2087559544908286e-164
生活行为与社会功能评估-总分,Social function score,6.753164751347108e-122,0.11659066854763894,0.9753464219698285,9.004219668462811e-122
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,3.4509610125597754e-115,0.0946952331350807,1.0353041052124476,4.141153215071731e-115
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,5.418114334159282e-101,0.07042670558471387,0.7685068802048765,5.910670182719216e-101
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,4.9018249602425474e-61,0.0348711798846767,0.47955001391808416,4.901824960242548e-61
