feature,mean_abs_shap
IADL量表-总分,0.0667482
认知-重复计算-第3次=0,0.052644826
心理-您集中精力有困难吗？=0,0.047344975
活力-BMI得分,0.04678812
心理-您是否大部分时间精力充沛？,0.044536524
认知-重复计算-第4次=0,0.035642575
心理-您是否害怕会有不幸的事情落到您头上？=0,0.034420356
感知-第一行看到≥3个E的方向=0,0.030895773
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.030017743
体重,0.029622974
心理-您是否已经放弃了许多活动与兴趣？=0,0.028835803
生命质量评估-3）是否影响您爬几层楼梯？=3.0,0.02685744
心理-您是否觉得大多数人比您强得多？=0,0.0267324
认知-请您照着这个样子把它画下来=0,0.025375374
省=云南省,0.025242893
心理-您觉得现在活得很惬意吗？=0,0.024613282
弹性评估-总分,0.02428188
认知-回忆三种东西名字1=0,0.023933463
生活行为与社会功能评估-总分,0.02301062
Fried衰弱表型评估-握力右手第一次值,0.021719798
认知- 请您跟我说（停顿片刻）=0,0.021126715
运动-双脚前后成一直线站立10秒-保持时间为:,0.0201059
运动-从椅子上站起，让其尽快地起立5次-完成时间为,0.019231124
心理-您是否希望呆在家里而不愿去做些新鲜事？=0,0.019028177
生命质量评估-2）中等强度的活动。如移动一张桌子、扫地、打太极拳、做简单体操等？=3.0,0.018140683
运动-4米行走时间：日常行走速度走完4米-第1次完成时间,0.018041026
认知-重复计算-第2次=0,0.016622057
健康自评分数,0.016409785
认知-请您写一个完整的句子，必须有主语、动词，有一定的内容=0,0.016401771
认知-回忆三种东西名字2=0,0.016197745
性别=女,0.014887586
肌少症评估-1举起或搬运10磅物体（约45kg）是否存在困难？,0.014857968
ADL量表-总分,0.0147072105
运动-从椅子上站起，让其尽快地起立5次-完成次数为,0.014650584
认知-重复计算-第3次=1,0.013392275
认知-回忆三种东西名字3=0,0.0129744485
IADL量表-4管理财务=1.0,0.012826576
心理-您是否已经放弃了许多活动与兴趣？=1,0.012824729
活力-既往3个月内有无重大心理变化或急性疾病=0,0.012679527
认知-现在是几号=0,0.01238432
Fried衰弱表型评估-握力左手第一次,0.012199208
Fried衰弱表型评估-握力左手第二次,0.012124033
文化程度=小学,0.012003384
肌少症评估-4爬10层台阶是否存在困难？=0.0,0.011533459
心理-您是否觉得生活空虚？=0,0.011509477
认知-回忆三种东西名字1=1,0.011439371
心理-您是否大部分时间感到幸福？,0.011418208
认知-重复计算-第5次=0,0.011144908
年龄,0.010974325
活力-神经心理问题=2,0.010801701
心理-您集中精力有困难吗？=1,0.010798817
生活行为与社会功能评估-您经常进行以下闲暇活动吗?(打牌、下棋、花草园艺、养小动物、书法绘画拉奏吟唱钓鱼、逛公园、集邮及物品收藏、散步锻炼、运动、玩电脑、看电影听戏、与邻居等聊天等)=4-0,0.010749951
Fried衰弱表型评估-握力右手第二次值,0.010603221
IADL量表-7使用交通工具=1.0,0.01014315
认知-重复计算-第1次=0,0.010064353
生命质量评估-1）总体来讲，您的健康状况是=4.0,0.009963123
感知-第二行看到≥3个E的方向=0,0.0093237795
收缩压,0.008907684
运动-4米行走时间：日常行走速度走完4米-第2次完成时间,0.008826537
过去一年住院次数,0.008645428
