feature,mean_abs_shap
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,1.7610627
Fried衰弱表型评估-握力左手第一次,1.6016859
区=东城区,1.1231501
跌倒评估-总分,0.89202106
省=广西壮族自治区,0.68309367
Fried衰弱表型评估-握力左手第二次,0.6344944
区=Other,0.4819086
省=新疆维吾尔自治区,0.3833377
区=中原区,0.27877024
Fried衰弱表型评估-握力右手第一次值,0.16760688
Fried衰弱表型评估-握力左手最大值,0.16624601
肌少症评估-1举起或搬运10磅物体（约45kg）是否存在困难？,0.15010133
文化程度=初中,0.14640096
文化程度=高中/中专,0.14321452
文化程度=大专/本科,0.13489407
文化程度=文盲,0.110954754
省=江苏省,0.10277715
慢病症状-无外因的骨折=Missing,0.10242454
慢病症状-无外因的骨折=1.0,0.0949542
人均可支配月收入水平=2.0,0.08347917
体重,0.07797071
省=Missing,0.07337909
Fried衰弱表型评估-握力右手第二次值,0.07220319
家庭类型=1.0,0.06666037
家庭类型=3.0,0.061028585
ADL量表-总分,0.054177642
省=云南省,0.04624733
家庭类型=2.0,0.044671584
人均可支配月收入水平=3.0,0.043069914
家庭类型=4.0,0.03912374
家庭类型=0.0,0.03615533
婚姻状况=Missing,0.035233136
婚姻状况=Other,0.03323906
受试来源=3.0,0.03264895
文化程度=Other,0.030382097
糖化血红蛋白=Other,0.027299155
区=朝阳区,0.02543081
区=绿园区,0.025287997
婚姻状况=4.0,0.024794752
人均可支配月收入水平=4.0,0.023936592
舒张压,0.02337707
文化程度=小学,0.022427006
婚姻状况=0.0,0.022193385
慢病症状-近3年无外力的摔倒=Missing,0.021623068
区=楚雄市,0.02129279
Fried衰弱表型评估-握力右手最大值,0.020820132
收缩压,0.020587249
健康自评分数,0.019750686
市=市辖区,0.01950817
慢病症状-无外因的骨折=0.0,0.018285526
家庭类型=Missing,0.018062774
市=乌鲁木齐市,0.01756324
受试来源=Missing,0.016723718
人均可支配月收入水平=1.0,0.016665366
区=Missing,0.016548844
活力-BMI得分,0.016405001
人均可支配月收入水平=6.0,0.015839651
市=白城市,0.01422207
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,0.014000997
区=宽城区,0.013936322
高血压发病年数=7.0,0.0138815725
慢病症状-近3年无外力的摔倒=0.0,0.013815018
区=鼓楼区,0.013454024
性别=女,0.013368721
慢病症状-近3年无外力的摔倒=1.0,0.01321085
婚姻状况=2.0,0.013186246
心理-您是否已经放弃了许多活动与兴趣？=1,0.013108549
生命质量评估-9）在过去4个星期里，您有多少时间感到心平气和？,0.012643603
区=丰台区,0.012185058
区=栖霞区,0.01190614
婚姻状况=1.0,0.011822139
过去一年住院次数,0.01169247
生命质量评估-1）总体来讲，您的健康状况是=5.0,0.0113713415
是否其他=Missing,0.011148834
市=白山市,0.011113494
省=河南省,0.010615582
家庭类型=5.0,0.010287359
弹性评估-总分,0.010146659
是否冠心病心绞痛=0.0,0.009958068
运动-双脚半前后位站立10秒-保持时间为:,0.009937621
市=四平市,0.00954423
是否神经衰弱=Missing,0.009464734
市=通辽市,0.009436591
区=城东区,0.009411876
市=郑州市,0.009268712
脑血栓治疗状态=Missing,0.009148214
慢病症状-活动时胸闷或胸痛=Missing,0.0091312425
区=乐都区,0.009017531
市=Missing,0.008951961
区=农安县,0.0087219095
受试来源=1.0,0.0083955545
患有慢性病数量,0.008247496
受试来源=0.0,0.008232625
省=Other,0.00816521
过去一年急诊次数,0.008138765
受试来源=2.0,0.007961368
市=长春市,0.007889976
区=德惠市,0.007693771
市=吉林市,0.007531611
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.0074721137
区=西山区,0.0072791693
区=公主岭市,0.0070408774
心理-您是否大部分时间感到幸福？,0.0069526113
弹性评估-3我大部分时间精力充沛,0.00687896
区=长白朝鲜族自治县,0.006435172
市=海东市,0.006290771
白内障发病年数=Other,0.0061750524
臀围=Other,0.0060689375
高血压发病年数=40.0,0.005984972
服用药物数量,0.005953023
区=融水苗族自治县,0.005873721
市=楚雄彝族自治州,0.0058608195
臀围=100.0,0.005762047
腰围=89.0,0.005643072
市=呼和浩特市,0.005539664
运动-总分,0.005537794
心理-总分,0.005480872
身高,0.00531962
肌少症评估-5过去1年内的您跌倒过几次？,0.005029134
市=西宁市,0.0049704826
臀围=102.0,0.0048847916
婚姻状况=3.0,0.004813583
总胆固醇=Other,0.004366222
腰围=Other,0.00420736
经济状况=2.0,0.0041418932
生命质量评估-1）总体来讲，您的健康状况是=Missing,0.0040805656
是否痴呆=0.0,0.0040731723
生命质量评估-6）在过去4个星期里，您是否情绪方面的原因（比如感到沮丧或者焦虑）而令您在工作或日常生活中感到力不从心？=2.0,0.0040650996
市=柳州市,0.0040646554
市=临沧市,0.003928799
慢病症状-行动不便（缓/跛）=Missing,0.0039013408
经济状况=Missing,0.003829333
冠心病心绞痛发病年数=6.0,0.0037167834
弹性评估-8当生活环境改变，我可以很好地适应=2.0,0.0036933315
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,0.0036459633
一生主要从事=2.0,0.0033536763
区=土默特左旗,0.0032596858
人均可支配月收入水平=5.0,0.0031992872
慢病症状-失眠=Missing,0.003186177
市=昆明市,0.0031516661
衰弱快速筛查量表-总分,0.003052595
省=吉林省,0.0030386962
腰围=98.0,0.0029965125
区=柳北区,0.002976677
Fried衰弱表型评估-您近期是否因手术、外伤、或有其他健康状况可能对您行走造成限制?=1.0,0.0029637755
运动-4米行走时间：日常行走速度走完4米-第1次完成时间,0.0029157456
IADL量表-总分,0.002877446
是否高血压=0.0,0.0028286078
是否慢阻肺=0.0,0.002722388
臀围=Missing,0.0027129916
运动-4米行走时间：日常行走速度走完4米-第2次完成时间,0.0026869597
省=青海省,0.0026291378
区=大兴区,0.0026241129
IADL量表-6服务药物=Missing,0.0025370603
查尔森合并症-充血性心力衰竭=无,0.0024589305
门冬氨酸氨基转移酶=17.0,0.0024313242
高血压治疗状态=Missing,0.002393699
弹性评估-4我越来越记不住东西放在哪里（此项为反向评分）,0.0023131815
出生日期=Other,0.0022621476
高血压发病年数=20.0,0.0022182998
跌倒评估-3使用助行器具=Missing,0.002211177
生活行为与社会功能评估-4您过去的一周内是否感觉孤独？=4-1,0.0021887557
查尔森合并症-转移性实体肿瘤=Missing,0.0021805936
冠心病心绞痛发病年数=3.0,0.002150213
慢病症状-行动不便（缓/跛）=0.0,0.0021461376
同型半胱氨酸=Missing,0.0021443665
认知-总分,0.002135145
曾经职业,0.002120647
冠心病心绞痛治疗状态=Other,0.0020624823
尿素氮=Other,0.0020423247
一生主要从事=3.0,0.002006035
心理-您是否大部分时间精力充沛？,0.001988785
是否其他神经疾病=0.0,0.0019521663
Fried衰弱表型评估-4米行走第二次,0.0018971288
市=南京市,0.0018751945
弹性评估-8当生活环境改变，我可以很好地适应=4.0,0.0018720955
查尔森合并症得分,0.0018151507
活力-既往3个月内有无重大心理变化或急性疾病=0,0.0018127381
冠心病心绞痛发病年数=8.0,0.0018017777
查尔森合并症-充血性心力衰竭=Missing,0.0017207708
市=Other,0.0017177776
查尔森合并症-糖尿病伴器官损害=Missing,0.0016949819
高血压发病年数=4.0,0.0016503548
是否高血压=Missing,0.0016415302
ADL量表-5控制大便=Missing,0.001632618
生命质量评估-5）在过去4个星期的工作和日常生活中，您是否因为身体健康的原因而令您的工作或活动受到限制？=Missing,0.0016091875
脑血栓治疗状态=1.0,0.0016066637
查尔森合并症-轻微的肝脏疾病=Missing,0.001563009
省=陕西省,0.0015580606
IADL量表-1打电话=3.0,0.0015549775
Fried衰弱表型评估-1)过去1年中，不明原因出现体重下降>45kg或>5%的体重,0.0015349442
生活行为与社会功能评估-总分,0.0014936535
活力-活动能力=0,0.0014665439
区=鱼峰区,0.0014657852
臀围=99.0,0.0014610785
是否高血压=1.0,0.001460955
是否其他=0.0,0.0014168924
是否慢阻肺=1.0,0.0013898351
空腹血糖=Other,0.0013841746
区=二道区,0.001321273
是否焦虑抑郁症=1.0,0.0012988155
体脂率=Missing,0.0012898125
感知-第一行看到≥3个E的方向=0,0.0012739598
生活行为与社会功能评估-5目前的收入（包括现金和实物）是否能够维持您的日常开支？=Missing,0.0012591761
一生主要从事=Missing,0.0012573892
区=玉泉区,0.0012358716
Fried衰弱表型评估-总分,0.0012278245
感知-在3米处测试小E=0,0.0012207332
是否肾脏疾病=0.0,0.0012129808
感知-在1.5米处检测大E=1,0.0011859677
自我感觉嗅觉=迟钝,0.0011417697
生命质量评估-6）在过去4个星期里，您是否情绪方面的原因（比如感到沮丧或者焦虑）而令您在工作或日常生活中感到力不从心？=1.0,0.0011403904
小腿围=Missing,0.0011181413
低密度脂蛋白=Missing,0.0010821008
是否其他神经疾病=1.0,0.0010793932
跌倒评估-4静脉输液/置管/使用药物治疗=20.0,0.001064754
查尔森合并症-淋巴瘤=无,0.0010586269
认知-文化水平=2,0.0010549456
区=凤庆县,0.0010421483
查尔森合并症-结缔组织疾病=Other,0.0010298722
认知-您现在在哪个省（市）=0,0.0010110397
腰围=78.0,0.0009854789
尿酸=Other,0.00094963115
生命质量评估-1）总体来讲，您的健康状况是=4.0,0.00094804645
认知-文化水平=0,0.00094323757
活力-过去三个月内体重下降情况,0.00092546927
甘油三酯=Other,0.0009230841
IADL量表-4管理财务=Missing,0.00091936736
臀围=85.0,0.000918762
腰围=102.0,0.0008996643
甘油三酯=Missing,0.0008985283
白蛋白=Missing,0.0008978886
臀围=90.0,0.00089269795
低密度脂蛋白=Other,0.00086268457
臀围=89.0,0.0008610571
腰围=Missing,0.0008503013
查尔森合并症-慢性肺疾病=Missing,0.0008355903
查尔森合并症-消化性溃疡疾病=Missing,0.0008065218
区=九台区,0.0007811492
冠心病心绞痛发病年数=Missing,0.00077706703
运动-双脚并拢站立10秒-保持时间为:,0.00076506386
生活行为与社会功能评估-4您过去的一周内是否感觉孤独？=2-1,0.000748006
生命质量评估-2）中等强度的活动。如移动一张桌子、扫地、打太极拳、做简单体操等？=1.0,0.00074173405
活力-如不能取得BMI，请以下面小腿围代替问题6,0.00072432286
是否冠心病心绞痛=1.0,0.00072193303
生活行为与社会功能评估-5目前的收入（包括现金和实物）是否能够维持您的日常开支？=1-0,0.0007218667
一生主要从事=0.0,0.0007174202
冠心病心绞痛发病年数=Other,0.00071357575
区=城中区,0.00071136834
弹性评估-5我能很好地规划自己的日常生活=1.0,0.0007000119
认知-给您一张纸请您按我说的去做-用两只手将它对折起来=1,0.00069973874
同型半胱氨酸=9.0,0.00069671735
是否焦虑抑郁症=0.0,0.0006931399
高血压发病年数=2.0,0.0006661559
生命质量评估-1）总体来讲，您的健康状况是=2.0,0.00065967545
冠心病心绞痛发病年数=5.0,0.0006565483
是否骨关节病=1.0,0.0006528536
运动是否完成编码=2,0.00065062544
白蛋白=37.0,0.00064764364
认知-出示铅笔：请问这是什么东西？=0,0.0006448934
糖尿病发病年数=30.0,0.0006402904
是否心肌梗死=1.0,0.00062674494
腰围=80.0,0.0006259309
Fried衰弱表型评估-1)在过去的6个月里，您的一只手或双手有没有做过手术或者发生任何肿胀、发炎、严重疼痛或受伤？=1.0,0.0006258807
运动-从椅子上站起，让其尽快地起立5次-完成次数为,0.00061125465
是否胃肠疾病=0.0,0.0006020131
是否肾脏疾病=1.0,0.0005936359
运动是否完成编码=0,0.00058903644
腰围=97.0,0.0005847866
认知-重复三样东西名字-皮球=0,0.00057921594
生活行为与社会功能评估-6您有可以讲心里话的家人/朋友吗？=2-1,0.00056404073
民族,0.000556326
查尔森合并症-充血性心力衰竭=Other,0.00054999266
认知-给您一张纸请您按我说的去做-用右手拿着这张纸=1,0.00053013803
活力-总分,0.0005288318
Fried衰弱表型评估-4米行走第一次,0.00052157574
查尔森合并症-艾滋病=Missing,0.0005161044
高血压发病年数=8.0,0.0005152995
衰弱快速筛查量表-3您每天体育锻炼（室外活动）大于30min么（或3h/周)？=Missing,0.0005147345
查尔森合并症-中度到重度肾疾病=Missing,0.00051283516
小腿围=35.0,0.00050887215
查尔森合并症-结缔组织疾病=无,0.00050257647
IADL量表-4管理财务=1.0,0.0004962738
慢病症状-排尿不畅或困难=0.0,0.0004914492
IADL量表-4管理财务=3.0,0.00048226403
跌倒评估-13月内有无跌倒/视觉障碍=0.0,0.00047424945
臀围=92.0,0.00047297988
活力-BMI值,0.00046960663
肌少症评估-总分,0.0004693516
认知-请您照着这个样子把它画下来=0,0.00046253044
是否脑出血=1.0,0.00046190183
感知-第三行看到≥3个E的方向=1,0.0004515629
红细胞=4.5,0.00044995567
Fried衰弱表型评估-④中度及以上强度活动（跳舞，保龄，高尔夫，游泳，乒乓球，足球，篮球，跑步，爬山等）=Missing,0.00044841346
ADL量表-2洗澡=Missing,0.00044490307
弹性评估-14我经常参加社区服务等社会活动=3.0,0.00043216982
生活行为与社会功能评估-8您是否喝酒？=3.0,0.00042725194
性别=男,0.00040785735
查尔森合并症-淋巴瘤=Other,0.0004029377
查尔森合并症-中度到重度肾疾病=无,0.00039681714
查尔森合并症-糖尿病伴器官损害=有,0.00039301298
白内障发病年数=Missing,0.00039106657
衰弱快速筛查量表-1您能步行250米么？=Missing,0.00038471151
认知-请您照着这个样子把它画下来=1,0.0003825161
健康状态=好,0.00038046777
