feature,mean_abs_shap
Fried衰弱表型评估-握力左手最大值,1.7338406
Fried衰弱表型评估-4米行走第二次,1.6767596
是否帕金森=0.0,0.8943679
听力障碍是否影响日常=是,0.53661
运动-双脚前后成一直线站立10秒-保持时间为:,0.45188326
家庭类型=1.0,0.43243736
高血压发病年数=25.0,0.4088163
Fried衰弱表型评估-握力右手第二次值,0.40479183
是否白内障=0.0,0.3680328
健康状态=一般,0.34109044
运动-总分,0.32693157
是否前列腺病（问男）=1.0,0.28986737
区=鼓楼区,0.2871575
运动-双脚半前后位站立10秒-保持时间为:,0.232025
受试来源=1.0,0.23171909
高血压发病年数=4.0,0.22832824
家庭类型=3.0,0.21855937
市=市辖区,0.2183871
高血压发病年数=14.0,0.21671145
活力-BMI值,0.21035612
脑血栓发病年数=2.0,0.19742279
区=公主岭市,0.19103763
人均可支配月收入水平=Missing,0.1872558
家庭类型=5.0,0.18040298
婚姻状况=0.0,0.17184313
糖尿病发病年数=12.0,0.13642465
高血压发病年数=7.0,0.13430642
是否其他呼吸疾病=1.0,0.1339429
人均可支配月收入水平=0.0,0.12977265
市=临沧市,0.12759015
脑血栓发病年数=3.0,0.12688714
脑血栓治疗状态=2.0,0.122985624
高血压发病年数=6.0,0.121376924
高血压治疗状态=1.0,0.120173596
婚姻状况=2.0,0.1151467
慢病症状-头晕=1.0,0.10902285
一生主要从事=0.0,0.10613184
市=Missing,0.10489213
白内障发病年数=5.0,0.10373619
一生主要从事=Missing,0.10236633
是否癫痫=0.0,0.1012452
查尔森合并症-中度到重度肾疾病=Missing,0.10039177
年龄,0.09995386
脑血栓发病年数=1.0,0.09707929
市=长春市,0.08895734
文化程度=初中,0.08893726
冠心病心绞痛治疗状态=1.0,0.087857604
是否骨质疏松=0.0,0.08722281
Fried衰弱表型评估-总分,0.0839772
是否甲状腺功能亢进=0.0,0.08178426
是否甲状腺功能减退=0.0,0.0801334
是否其他呼吸疾病=0.0,0.07948254
市=Other,0.0789733
是否痴呆=Other,0.07885173
是否脑血栓=0.0,0.07771956
区=东城区,0.07560398
是否高血压=1.0,0.07460493
高血压发病年数=3.0,0.07362379
市=西宁市,0.07198533
高血压发病年数=1.0,0.07015611
白内障治疗状态=2.0,0.069458455
婚姻状况=Missing,0.06871087
糖尿病发病年数=6.0,0.06849048
是否脑血管病（TIA）=0.0,0.067950934
区=南关区,0.06693343
人均可支配月收入水平=3.0,0.06533357
是否其他神经疾病=0.0,0.06507947
Fried衰弱表型评估-握力左手第一次,0.06281832
区=融水苗族自治县,0.06157167
是否焦虑抑郁症=0.0,0.061189875
是否青光眼=Missing,0.06001267
省=江苏省,0.058487102
是否帕金森=1.0,0.057564955
经济状况=Missing,0.05702385
性别=男,0.056744576
衰弱快速筛查量表-总分,0.056548107
婚姻状况=Other,0.055472206
糖尿病发病年数=2.0,0.05528876
视力障碍是否影响日常=是,0.054723743
弹性评估-13我有自己的个人爱好或休闲方式=4.0,0.053221483
冠心病心绞痛治疗状态=Missing,0.052930053
高血压发病年数=20.0,0.05271909
IADL量表-总分,0.051339142
高血压发病年数=40.0,0.051234588
肌少症评估-1举起或搬运10磅物体（约45kg）是否存在困难？,0.05103215
脑血栓发病年数=Missing,0.0506821
脑血栓发病年数=5.0,0.049806226
是否脑出血=Missing,0.048682876
高血压发病年数=5.0,0.048459638
健康状态=好,0.047697846
是否其他=0.0,0.047113687
生命质量评估-8）在过去的4个星期里，您身体上的疼痛对您的日常工作（包括上班和家务）有多大影响？=5.0,0.046935923
血小板=Other,0.045541488
市=海东市,0.045035668
区=鱼峰区,0.044262335
活力-BMI得分,0.04333524
省=河南省,0.043256264
是否胃肠疾病=1.0,0.040620774
衰弱快速筛查量表-您近1周常有以下感觉么(>3 天)-做任何事都很费力或什么事情都不想干=0.0,0.04001165
过去一年住院次数,0.039780285
区=大兴区,0.039324626
Fried衰弱表型评估-我感觉做任何事都很费力=1-0,0.0393022
身高,0.039258532
市=白山市,0.038888697
跌倒评估-3使用助行器具=15.0,0.038276926
过去一年急诊次数,0.037334185
高血压发病年数=15.0,0.037264835
高血压发病年数=2.0,0.036812346
弹性评估-13我有自己的个人爱好或休闲方式=5.0,0.036697842
出生日期=Other,0.03622652
弹性评估-5我能很好地规划自己的日常生活=1.0,0.036085956
冠心病心绞痛发病年数=6.0,0.036001034
市=四平市,0.035518438
区=西山区,0.035216153
区=宽城区,0.034518503
高血压治疗状态=Missing,0.03432209
区=二道区,0.03431099
视力障碍=无,0.03410528
衰弱快速筛查量表-5您近1年体重下降≥5%么？,0.03403061
省=云南省,0.033586062
白内障发病年数=3.0,0.033166315
高血压治疗状态=2.0,0.032816675
白内障发病年数=10.0,0.031826627
运动-4米行走时间：日常行走速度走完4米-第2次完成时间,0.03141357
冠心病心绞痛发病年数=8.0,0.030923385
区=西城区,0.030701555
视力障碍是否影响日常=否,0.030663827
糖尿病发病年数=15.0,0.030660657
省=Other,0.030513396
听力障碍是否影响日常=否,0.029433291
婚姻状况=4.0,0.029300166
是否冠心病心绞痛=0.0,0.0292117
家庭类型=Missing,0.02911878
冠心病心绞痛发病年数=1.0,0.02875611
受试来源=2.0,0.028601907
脑血栓发病年数=4.0,0.02851342
冠心病心绞痛发病年数=Other,0.028505761
是否高血压=Missing,0.028436678
糖尿病发病年数=30.0,0.028122718
高血压发病年数=13.0,0.027482657
查尔森合并症-在5年内任何肿瘤=有,0.027411781
运动-双脚并拢站立10秒-保持时间为:,0.027076611
是否糖尿病=Missing,0.026923146
受试来源=0.0,0.026919145
冠心病心绞痛治疗状态=2.0,0.026889078
省=吉林省,0.026747214
糖尿病治疗状态=1.0,0.026438272
高血压发病年数=30.0,0.026069209
Fried衰弱表型评估-③低强度活动（太极，气功，瑜伽，击剑，武术等）=Missing,0.025810601
是否前列腺病（问男）=0.0,0.02569913
是否神经衰弱=Missing,0.02550621
糖尿病发病年数=10.0,0.025433516
省=内蒙古自治区,0.025180487
市=柳州市,0.025063764
是否心肌梗死=1.0,0.024758957
省=北京市,0.024260594
运动-从椅子上站起，让其尽快地起立5次-完成次数为,0.023980662
慢病症状-活动气短、水肿=0.0,0.023775836
跌倒评估-3使用助行器具=Missing,0.023612216
弹性评估-总分,0.0235777
区=长白朝鲜族自治县,0.023305709
区=凤庆县,0.023274096
是否其他=Missing,0.02301605
收缩压,0.022865213
市=松原市,0.022688441
是否青光眼=1.0,0.02264454
冠心病心绞痛治疗状态=Other,0.022473719
是否脑出血=0.0,0.022235002
是否神经衰弱=0.0,0.022135383
区=中原区,0.022002235
是否其他=Other,0.021804737
经济状况=2.0,0.021472165
总胆固醇=Other,0.021246921
舒张压,0.021236653
受试来源=Missing,0.020468568
慢病症状-近3年无外力的摔倒=Missing,0.020339532
白内障治疗状态=Missing,0.020287607
是否前列腺病（问男）=Missing,0.020241804
跌倒评估-3使用助行器具=0.0,0.020214807
区=城中区,0.019983951
生命质量评估-7）在过去4个星期的工作和日常生活中，您是否因为情绪方面的原因（比如感到沮丧或者焦虑）而令您的工作或活动受到限制？=2.0,0.019892031
人均可支配月收入水平=2.0,0.019832306
心理-您是否大部分时间感到幸福？,0.019325297
是否心肌梗死=0.0,0.018917466
市=呼和浩特市,0.018909782
认知-您现在在哪个县（区）=0,0.018887758
高血压发病年数=Missing,0.018848635
ADL量表-9平地行走45米=5.0,0.018639447
文化程度=大专/本科,0.018547796
白内障发病年数=Missing,0.018284218
糖尿病发病年数=8.0,0.018196931
慢病症状-失眠=0.0,0.017876104
是否骨关节病=1.0,0.017585231
是否慢阻肺=0.0,0.017420297
肌少症评估-4爬10层台阶是否存在困难？=Missing,0.01740357
Fried衰弱表型评估-①散步=4.0,0.017310627
糖尿病发病年数=7.0,0.017304448
省=Missing,0.017261824
经济状况=1.0,0.017138185
Fried衰弱表型评估-④中度及以上强度活动（跳舞，保龄，高尔夫，游泳，乒乓球，足球，篮球，跑步，爬山等）=1.0,0.01705732
性别=女,0.017054465
是否肾脏疾病=Missing,0.016933396
糖尿病发病年数=3.0,0.01678839
糖尿病发病年数=1.0,0.016720984
是否白内障=1.0,0.016395189
区=农安县,0.016314095
糖尿病治疗状态=Missing,0.016258355
是否肾脏疾病=1.0,0.015756449
是否胃肠疾病=0.0,0.015681567
曾经职业,0.015607783
白内障发病年数=2.0,0.015563736
是否骨质疏松=Missing,0.015435888
糖尿病发病年数=20.0,0.015291958
是否白内障=Missing,0.015209017
是否骨关节病=Missing,0.015123709
人均可支配月收入水平=5.0,0.015063464
是否甲状腺功能减退=Missing,0.015012864
认知-您现在在哪个乡（镇、街道）=0,0.0149768405
是否其他心血管疾病=0.0,0.014641459
衰弱快速筛查量表-3您每天体育锻炼（室外活动）大于30min么（或3h/周)？=1.0,0.014471953
是否其他心血管疾病=Missing,0.014336418
脑血栓治疗状态=Other,0.014076355
冠心病心绞痛发病年数=3.0,0.014052425
活力-如不能取得BMI，请以下面小腿围代替问题6,0.013991653
Fried衰弱表型评估-4米行走第一次,0.013960473
糖尿病发病年数=4.0,0.013954312
婚姻状况=3.0,0.013632202
区=丰台区,0.01337924
高血压发病年数=8.0,0.013357617
省=陕西省,0.01333757
查尔森合并症得分,0.013241432
高血压发病年数=12.0,0.013238679
认知-现在是哪一年=1,0.013175834
文化程度=高中/中专,0.012798985
白内障治疗状态=0.0,0.01278096
慢病症状-反复关节疼痛=Missing,0.012727356
健康状态=差,0.012691548
体重,0.012440729
市=乌鲁木齐市,0.012423999
省=广西壮族自治区,0.012334427
是否肿瘤=1.0,0.012212477
文化程度=小学,0.011854773
心理-您是否大部分时间精力充沛？,0.011724432
是否慢性肝病=0.0,0.011714364
市=昆明市,0.011611064
脑血栓发病年数=10.0,0.011487111
Fried衰弱表型评估-1)过去1年中，不明原因出现体重下降>45kg或>5%的体重,0.011469797
家庭类型=0.0,0.0114247305
糖尿病治疗状态=2.0,0.01122926
健康状态=很差,0.011163261
是否骨质疏松=1.0,0.011150848
白内障发病年数=Other,0.010986854
家庭类型=4.0,0.010712567
家庭类型=2.0,0.010625301
是否帕金森=Missing,0.010520933
是否肿瘤=0.0,0.010373639
糖尿病治疗状态=0.0,0.010369897
糖尿病发病年数=Other,0.010328684
高血压发病年数=10.0,0.010190184
生命质量评估-8）在过去的4个星期里，您身体上的疼痛对您的日常工作（包括上班和家务）有多大影响？=2.0,0.010024128
是否痴呆=Missing,0.009915952
白内障发病年数=1.0,0.009773829
白内障治疗状态=1.0,0.009603961
区=城东区,0.00952469
是否冠心病心绞痛=Missing,0.009474825
弹性评估-4我越来越记不住东西放在哪里（此项为反向评分）,0.009462577
一生主要从事=3.0,0.009282317
糖尿病发病年数=Missing,0.009265265
脑血栓治疗状态=Missing,0.009137756
是否骨关节病=0.0,0.009014515
文化程度=Other,0.008758788
健康状态=很好,0.008689833
生命质量评估-6）在过去4个星期里，您是否情绪方面的原因（比如感到沮丧或者焦虑）而令您在工作或日常生活中感到力不从心？=Missing,0.008553541
人均可支配月收入水平=6.0,0.008505502
生活行为与社会功能评估-4您过去的一周内是否感觉孤独？=Missing,0.008377425
市=吉林市,0.008260875
生命质量评估-4）在过去4个星期里，您是否会因为身体健康的原因，在日常生活或工作中感到力不从心？=2.0,0.0080498345
生命质量评估-6）在过去4个星期里，您是否情绪方面的原因（比如感到沮丧或者焦虑）而令您在工作或日常生活中感到力不从心？=2.0,0.007929448
ADL量表-1进食=10.0,0.007895073
是否肾脏疾病=0.0,0.0076707727
区=Missing,0.007624461
生命质量评估-4）在过去4个星期里，您是否会因为身体健康的原因，在日常生活或工作中感到力不从心？=Missing,0.0075914054
生命质量评估-7）在过去4个星期的工作和日常生活中，您是否因为情绪方面的原因（比如感到沮丧或者焦虑）而令您的工作或活动受到限制？=1.0,0.007503276
市=楚雄彝族自治州,0.007497228
糖尿病发病年数=5.0,0.007492683
弹性评估-10我有可以讲心里话的人=4.0,0.0074339164
受试来源=3.0,0.007223782
小腿围=38.0,0.0070580197
臀围=89.0,0.0070375623
Fried衰弱表型评估-④中度及以上强度活动（跳舞，保龄，高尔夫，游泳，乒乓球，足球，篮球，跑步，爬山等）=4.0,0.0070009297
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.006779103
ADL量表-总分,0.006760891
慢病症状-行动不便（缓/跛）=0.0,0.0067467056
是否痴呆=0.0,0.006725309
弹性评估-8当生活环境改变，我可以很好地适应=2.0,0.0066675455
活力-过去三个月内体重下降情况,0.006643451
脑血栓发病年数=Other,0.006570261
生命质量评估-8）在过去的4个星期里，您身体上的疼痛对您的日常工作（包括上班和家务）有多大影响？=4.0,0.0064351205
生活行为与社会功能评估-1过去1年，帮助家属/朋友做事（帮助别人）=2-0,0.0062565897
市=白城市,0.0062560383
臀围=88.0,0.0060553853
Fried衰弱表型评估-我感觉做任何事都很费力=Other,0.0060510817
