feature,mean_abs_shap
过去一年急诊次数,0.26943013
查尔森合并症得分,0.23362751
是否高血压=Missing,0.12767555
查尔森合并症-偏瘫=无,0.11782622
运动-从椅子上站起，让其尽快地起立5次-完成时间为,0.09919436
查尔森合并症-转移性实体肿瘤=无,0.08283821
查尔森合并症-脑血管疾病=无,0.07967472
是否高血压=1.0,0.0766123
肌少症评估-1举起或搬运10磅物体（约45kg）是否存在困难？,0.07510214
是否癫痫=0.0,0.07352207
血小板=Missing,0.0723665
患有慢性病数量,0.06252639
低密度脂蛋白=Missing,0.059287563
跌倒评估-2超过一个疾病诊断=15.0,0.052826237
Fried衰弱表型评估-握力右手第二次值,0.052537303
查尔森合并症-冠状动脉疾病=Missing,0.05096482
生命质量评估-8）在过去的4个星期里，您身体上的疼痛对您的日常工作（包括上班和家务）有多大影响？=6.0,0.050735086
服用药物数量,0.047157183
甘油三酯=Missing,0.045069806
运动-4米行走时间：日常行走速度走完4米-平均完成时间,0.043440208
Fried衰弱表型评估-握力左手第二次,0.04253161
运动-双脚半前后位站立10秒-保持时间为:,0.042445175
运动-双脚前后成一直线站立10秒-保持时间为:,0.040590852
运动-4米行走时间：日常行走速度走完4米-第1次完成时间,0.039410174
舒张压,0.039088428
查尔森合并症-结缔组织疾病=无,0.038981136
尿酸=Missing,0.037498366
体重,0.0348628
收缩压,0.034736928
运动-从椅子上站起，让其尽快地起立5次-完成次数为,0.034206048
生命质量评估-2）中等强度的活动。如移动一张桌子、扫地、打太极拳、做简单体操等？=3.0,0.03390801
肌少症评估-4爬10层台阶是否存在困难？=0.0,0.033536967
是否甲状腺功能减退=0.0,0.03219107
健康自评分数,0.03189728
查尔森合并症-糖尿病伴器官损害=无,0.0310699
衰弱快速筛查量表-5您近1年体重下降≥5%么？,0.029505905
运动-双脚并拢站立10秒-保持时间为:,0.028522667
查尔森合并症-中度到严重的肝脏疾病=无,0.02654053
跌倒评估-总分,0.025839875
省=青海省,0.023817845
IADL量表-总分,0.023248754
高血压治疗状态=2.0,0.023006411
经济状况=2.0,0.022890735
是否慢性肝病=0.0,0.02278966
Fried衰弱表型评估-①散步=4.0,0.022259934
肌少症评估-5过去1年内的您跌倒过几次？,0.02067377
慢病症状-明显记忆下降=1.0,0.020556182
是否其他呼吸疾病=0.0,0.020529166
是否糖尿病=1.0,0.020391371
认知-重复计算-第4次=0,0.020164978
空腹血糖=Missing,0.019877626
衰弱快速筛查量表-您近1周常有以下感觉么(>3 天)-做任何事都很费力或什么事情都不想干=1.0,0.01928619
ADL量表-总分,0.019212943
总胆固醇=Missing,0.019003637
运动-4米行走时间：日常行走速度走完4米-第2次完成时间,0.018730752
省=吉林省,0.018432973
Fried衰弱表型评估-4米行走第一次,0.018390547
衰弱快速筛查量表-2您能提10斤重物么？=1.0,0.018386966
糖化血红蛋白=Missing,0.01792205
认知-请您照着这个样子把它画下来=0,0.017687699
查尔森合并症-充血性心力衰竭=无,0.01639994
是否心肌梗死=0.0,0.015740158
高血压发病年数=Missing,0.0151103055
Fried衰弱表型评估-握力左手第一次,0.015079692
Fried衰弱表型评估-握力右手第一次值,0.014938137
弹性评估-总分,0.014771132
血小板=Other,0.014616507
尿素氮=Missing,0.0143077
是否冠心病心绞痛=Missing,0.013438063
是否其他心血管疾病=0.0,0.013316297
是否心肌梗死=Missing,0.013296539
慢病症状-行动不便（缓/跛）=0.0,0.0132199675
认知-现在是几号=0,0.013097354
慢病症状-活动时胸闷或胸痛=1.0,0.013042348
活力-BMI得分,0.012801506
感知-在3米处测试小E=0,0.01247497
市=长春市,0.012285076
