feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
肌少症评估-总分,Sarcopenia score,0.0,0.3643119582956442,3.095016328098737,0.0
IADL量表-总分,IADL total,0.0,0.336366391546981,5.624933749136373,0.0
跌倒评估-总分,Fall risk score,0.0,0.33060187279498193,36.45029798380314,0.0
衰弱快速筛查量表-总分,Frailty screen score,0.0,0.31249486622108136,1.348679049267314,0.0
ADL量表-总分,ADL total,0.0,0.2933631248986511,18.6057357267364,0.0
Fried衰弱表型评估-总分,Fried frailty score,2.2014408837825967e-269,0.24690803529108643,1.2828812663477307,4.4028817675651935e-269
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,8.867308004574202e-240,0.178032144159444,1.2211869055995503,1.5201099436412917e-239
弹性评估-总分,Resilience score,2.6566178462685497e-230,0.1475572262766527,9.31916572005553,3.984926769402825e-230
生活行为与社会功能评估-总分,Social function score,3.0547632963039316e-190,0.18349477580339743,1.179099019170026,4.073017728405242e-190
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,9.231688020566273e-156,0.12229816652953535,0.9905126320110833,1.1078025624679527e-155
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,3.0024509906702504e-149,0.12756349370001638,1.140413445777693,3.2754010807311826e-149
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,5.909141609478539e-89,0.05187794307534336,0.5689539098653844,5.909141609478539e-89
