feature_raw,feature_en,p_value,max_mean_diff
跌倒评估-总分,Fall risk score,0.0,24.707734114676043
ADL量表-总分,ADL total,2.026470942447313e-42,5.459717973844008
肌少症评估-总分,Sarcopenia score,1.7463576839448568e-40,0.9040248653205671
IADL量表-总分,IADL total,6.235939661428536e-40,1.7812637614563336
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,2.2616175217040644e-36,0.5306379946344739
弹性评估-总分,Resilience score,5.51038452536228e-30,4.01657298794396
生活行为与社会功能评估-总分,Social function score,4.674266013387683e-27,0.4551061672558234
Fried衰弱表型评估-总分,Fried frailty score,3.7294803382837126e-26,0.39826958966014514
衰弱快速筛查量表-总分,Frailty screen score,3.180400117327619e-25,0.3784061926090589
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,9.5628326966277e-19,0.2777149005141961
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,2.440775532879557e-10,0.19316525551519348
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,6.624372052580609e-10,0.25126643530084314
