feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
肌少症评估-总分,Sarcopenia score,0.0,0.33684233105615186,2.897032483655876,0.0
IADL量表-总分,IADL total,0.0,0.3202440335786791,5.368706069145974,0.0
衰弱快速筛查量表-总分,Frailty screen score,0.0,0.284229932162162,1.2617303213572302,0.0
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,0.0,0.25433124286124936,1.3201035197463353,0.0
ADL量表-总分,ADL total,0.0,0.2278781688220919,15.825631867251815,0.0
弹性评估-总分,Resilience score,1.147697893378e-310,0.20703478244961937,10.767054627568086,2.295395786756e-310
Fried衰弱表型评估-总分,Fried frailty score,5.3445901439811786e-303,0.25918066890990843,1.279303725548215,9.162154532539164e-303
生活行为与社会功能评估-总分,Social function score,2.4648318645138223e-231,0.21248801399820533,1.239068180028989,3.697247796770733e-231
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,1.4149502564068442e-220,0.17523511256432395,1.2994239324760408,1.886600341875792e-220
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,4.551558161281442e-183,0.12825975703156275,1.0145370845811046,5.46186979353773e-183
跌倒评估-总分,Fall risk score,7.840583023084756e-153,0.14370165705570784,19.570528282783165,8.553363297910644e-153
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,5.849879530490502e-103,0.05717939811471251,0.5817368417107369,5.849879530490502e-103
