feature_raw,feature_en,p_value,eta_squared,max_mean_diff,q_value_fdr
肌少症评估-总分,Sarcopenia score,0.0,0.36424203823568324,3.3751011249675638,0.0
IADL量表-总分,IADL total,0.0,0.3456182396592158,6.250484876471948,0.0
衰弱快速筛查量表-总分,Frailty screen score,0.0,0.3154870222150472,1.4940000402935385,0.0
Fried衰弱表型评估-总分,Fried frailty score,0.0,0.2824129315376168,1.5064735203239359,0.0
生命质量评估-1）总体来讲，您的健康状况是,QoL general health,0.0,0.2814190647584219,1.517723603089769,0.0
ADL量表-总分,ADL total,0.0,0.258311614269102,18.767662311718894,0.0
弹性评估-总分,Resilience score,0.0,0.22449503594665868,11.953959273910591,0.0
生活行为与社会功能评估-总分,Social function score,1.832912657425295e-245,0.2280115498556387,1.4073950114637828,2.749368986137942e-245
生命质量评估-10）在过去4个星期里，您有多少时间感到精力充沛？,QoL energy,6.836158914125123e-235,0.18822535910228788,1.4599049096840933,9.114878552166831e-235
生命质量评估-12）在过去4个星期里，有多少时间由于您身体健康或情绪问题而妨碍您的社交活动（比如探亲、访友等）？,QoL social limitation,2.5213777171217156e-208,0.14789134613096538,1.2009209298031456,3.025653260546059e-208
跌倒评估-总分,Fall risk score,1.403438420359306e-161,0.15701553560426743,24.40038151824539,1.5310237313010608e-161
生命质量评估-11）在过去4个星期里，您有多少时间感到心情不好、闷闷不乐或沮丧？,QoL depressed mood,7.452594396704824e-120,0.06765316844461844,0.7248501020690785,7.452594396704824e-120
